Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	49193b09-c41e-4ed2-81fc-d5944496572c
Plate Name	4.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	4	42	289	788	[263,761,316,816]	-720.39	2186.1					52	273	0.0061139	12	0.00519931	204.6	0.871264	24.2009	11.8284	
2	3	0	4	43	127	918	[103,895,154,943]	-768.16	2147.37					53	284	0.0107647	14	0.00792752	156.552	0.91295	25.176	16.0815	
2	3	0	4	44	621	1000	[598,976,645,1025]	-621.73	2122.89					54	254	0.0111297	12	0.00674536	157.705	0.969879	22.5166	14.2777	
2	3	0	27	1	167	41	[146,17,190,67]	857.71	1762.69					2	79	0.00315207	4	0.00256082	138.468	0.892304	7.00319	5.05762	
2	3	0	27	2	60	101	[37,82,88,120]	826.96	1745.36					3	129	0.00525841	4	0.00255918	138.557	0.930814	11.4356	8.25336	
2	3	0	27	3	360	303	[337,288,376,330]	914.09	1683.59					4	98	0.00996455	3	0.0028222	94.2328	0.913429	8.6875	9.21919	
2	3	0	27	4	177	1051	[157,1020,198,1073]	860.9	1463.42					5	183	0.00607904	8	0.00471698	150.347	0.951434	16.2226	10.7901	
2	3	0	27	5	461	228	[432,206,486,250]	944.92	1707.39					6	167	0.00759213	9	0.00479233	166.481	0.938543	14.8042	8.89244	
2	3	0	27	6	473	302	[438,275,501,332]	948.2	1685.1					7	37	0.00104162	1	0.000392773	225.698	0.818518	3.27998	1.45326	
2	3	0	27	7	425	337	[395,307,491,371]	938.44	1673.4					8	284	0.00445609	11	0.00267445	364.609	0.697802	25.176	6.90494	
2	3	0	24	1	1041	379	[1012,360,1063,400]	148.25	1661.96					2	166	0.00461433	5	0.00309023	143.432	0.903309	14.7156	10.2596	
2	3	0	24	2	1003	440	[982,414,1024,467]	137.86	1643.78					3	530	0.01687	16	0.00896359	158.237	0.963833	46.9834	29.6919	
2	3	0	24	3	458	582	[433,561,488,603]	-23.42	1601.8					4	33	0.00134846	1	0.000535332	165.594	0.854904	2.92538	1.7666	
2	3	0	24	4	533	608	[508,587,558,631]	-1.68	1593.65					5	34	0.00256792	1	0.000578704	153.184	0.901524	3.01403	1.96759	
2	3	0	24	5	523	532	[486,501,563,564]	-4.36	1616.5					7	726	0.0117388	32	0.0086815	326.757	0.895463	64.3584	19.6961	
2	3	0	9	1	544	64	[525,48,564,81]	970.31	2401.51					1	63	0.00555048	2	0.00192493	92.1053	0.960115	5.58482	6.06352	
2	3	0	9	2	220	74	[199,52,245,107]	874.41	2397.3					2	293	0.0080987	10	0.00529942	167.279	0.879067	25.9739	15.5273	
2	3	0	9	3	114	164	[86,139,145,188]	842.6	2372.46					3	211	0.00752221	8	0.00410046	172.952	0.889666	18.7047	10.815	
2	3	0	9	4	422	308	[396,286,452,330]	934.41	2329.47					4	102	0.00216016	4	0.00207254	171.091	0.903934	9.0421	5.28497	
2	3	0	9	5	519	373	[499,356,541,390]	962.91	2309.81					5	108	0.00612703	5	0.00432152	102.566	0.979584	9.57398	9.33449	
2	3	0	9	6	537	443	[517,425,566,464]	969.16	2288.94					6	72	0.00372849	2	0.00141044	125.703	0.927021	6.3826600000000004	5.07757	
2	3	0	9	7	740	522	[710,499,762,551]	1027.82	2264.39					7	88	0.00203502	4	0.00206825	171.445	0.859865	7.80102	4.55016	
2	3	0	9	8	929	544	[907,520,954,566]	1084.99	2258.69					8	21	0.00146969	1	0.000618047	143.432	0.854125	1.86161	1.2979	
2	3	0	9	9	207	591	[185,571,228,614]	869.48	2244.53					9	181	0.00562503	7	0.00506512	122.512	0.921517	16.0453	13.097	
2	3	0	9	10	846	678	[826,658,865,698]	1059.76	2218.93					10	107	0.00552255	4	0.00317209	111.785	0.95039	9.48534	8.48533	
2	3	0	9	11	1012	832	[988,811,1037,854]	1109.45	2172.64					12	124	0.00406047	5	0.0030303	146.269	0.928745	10.9924	7.51515	
2	3	0	9	12	265	106	[241,66,292,132]	887.38	2391.93					15	360	0.00697694	15	0.00593589	224.013	0.834906	31.9133	14.2461	
2	3	0	9	13	164	157	[132,135,189,181]	856.5	2374.25					16	0	0	0	0	168.254	0.844432	0	0	
2	3	0	9	14	204	433	[176,411,225,458]	867.77	2291.69					18	79	0.00300956	2	0.00117509	150.879	0.937786	7.00319	4.6416	
2	3	0	9	15	946	504	[920,479,976,532]	1090.39	2270.61					19	44	0.00094215	2	0.000917431	193.253	0.831814	3.90051	2.01835	
2	3	0	9	16	820	526	[786,502,848,551]	1051.81	2264.08					20	261	0.00730421	11	0.0045738	213.198	0.941536	23.1371	10.8524	
2	3	0	9	17	488	711	[425,682,518,752]	948.71	2207.47					21	304	0.00291145	13	0.00290049	397.32	0.778632	26.949	6.78269	
2	3	0	9	18	310	757	[281,730,338,784]	900.25	2195.82					22	285	0.00672131	12	0.00517688	205.486	0.928231	25.2647	12.2951	
2	3	0	9	19	543	803	[501,765,572,835]	968.59	2182.08					23	135	0.00219415	5	0.0015015	295.198	0.872499	11.9675	4.05405	
2	3	0	9	20	680	895	[656,870,704,925]	1010.7	2153.79					24	274	0.0105316	11	0.00527325	184.92	0.952371	24.2896	13.1352	
2	3	0	9	21	142	954	[115,925,170,985]	850.63	2136.65					25	641	0.0182583	20	0.00794281	223.216	0.928291	56.8234	25.4567	
2	3	0	9	22	318	998	[291,973,350,1023]	903.31	2123.92					26	23	0.00047772	1	0.000446628	198.483	0.839348	2.0389	1.02724	
2	3	0	5	1	317	23	[291,4,345,43]	-388.42	2414.26					6	0	0	0	0	145.915	0.862732	0	0	
2	3	0	5	2	632	67	[604,52,654,84]	-295.88	2400.65					7	219	0.0113261	6	0.00493421	107.796	0.879006	19.4139	18.0099	
2	3	0	5	3	694	33	[651,5,723,101]	-278.79	2405.74					8	442	0.00602397	16	0.00388444	365.141	0.747643	39.1824	10.7308	
2	3	0	5	4	754	120	[724,99,777,144]	-259.76	2384.66					10	0	0	0	0	147.599	0.889313	0	0	
2	3	0	5	5	268	184	[242,163,291,206]	-403.81	2366.41					11	191	0.00443579	7	0.00412979	150.258	0.935559	16.9318	11.2684	
2	3	0	5	6	735	195	[709,172,764,220]	-264.27	2362.92					12	319	0.0113146	11	0.00587293	166.038	0.908701	28.2787	17.0315	
2	3	0	5	7	356	225	[336,202,377,249]	-377.42	2353.47					13	127	0.00964007	5	0.0034459	128.628	0.939457	11.2583	8.75258	
2	3	0	5	8	467	250	[447,229,487,270]	-344.24	2346.44					14	120	0.00498898	4	0.0030303	117.015	0.966521	10.6378	9.09091	
2	3	0	5	9	256	275	[235,258,284,294]	-406.46	2338.93					15	200	0.0135557	6	0.00440852	120.65	0.930093	17.7296	14.6951	
