Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	88a56760-05b6-4abc-bbbc-0dc6a9a4f394
Plate Name	2.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	3	20	118	690	[96,668,143,712]	-1093.81	2215.47					22	117	0.0100086	3	0.00189873	140.125	0.928747	10.3764	7.40506	
2	3	0	3	21	906	818	[882,794,937,843]	-858.97	2176.98					23	63	0.00133209	3	0.00153767	173.028	0.937443	5.58727	3.22911	
2	3	0	33	1	795	276	[775,256,816,296]	-246.63	1369.97					1	0	0	0	0	112.189	0.91651	0	0	
2	3	0	33	2	913	324	[894,304,932,359]	-211.75	1353.44					2	0	0	0	0	143.761	0.8484	0	0	
2	3	0	33	3	882	368	[858,346,906,396]	-220.57	1341.85					3	0	0	0	0	158.395	0.870685	0	0	
2	3	0	33	4	461	924	[439,894,482,961]	-346.63	1176.29					4	297	0.00863972	13	0.00581916	198.127	0.878146	26.34	13.2945	
2	3	0	33	5	692	1008	[669,988,729,1032]	-275.5	1151.44					5	0	0	0	0	173.738	0.854055	0	0	
2	3	0	33	6	69	279	[45,256,100,301]	-462.35	1369.76					6	0	0	0	0	167.796	0.907117	0	0	
2	3	0	33	7	831	347	[805,321,860,373]	-235.8	1348.52					7	0	0	0	0	192.983	0.830923	0	0	
2	3	0	33	8	784	421	[753,391,814,450]	-250.15	1326.73					8	141	0.00243536	6	0.00211939	251.073	0.902486	12.5049	4.98057	
