Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	19283e27-5448-4aa9-80bf-b3866b910171
Plate Name	0.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	11	1	187	227	[163,205,214,253]	1187.05	2030.74					1	60	0.00381945	2	0.00117925	150.413	0.832165	5.32121	3.53774	
2	3	0	11	2	219	256	[192,230,254,282]	1197.42	2021.09					2	187	0.00869616	6	0.00295858	179.857	0.813436	16.5844	9.22091	
2	3	0	11	3	467	342	[440,319,493,366]	1269.94	1996.45					3	108	0.00239363	6	0.00326975	162.74	0.833893	9.57818	5.88556	
2	3	0	11	4	493	381	[466,359,521,406]	1277.79	1983.96					4	272	0.00955028	12	0.0061287	173.649	0.818798	24.1228	13.8917	
2	3	0	11	5	555	148	[531,125,577,177]	1296.24	2052.88					5	0	0	0	0	157.242	0.84148	0	0	
2	3	0	11	6	496	165	[474,143,519,187]	1278.84	2048.93					6	17	0.000765988	1	0.000645578	137.376	0.910441	1.50768	1.09748	
2	3	0	11	7	438	455	[413,432,471,479]	1262.74	1962.34					7	58	0.00098715	2	0.000946522	187.395	0.879974	5.14384	2.74491	
2	3	0	11	8	607	541	[578,513,636,570]	1312.14	1936.95					8	0	0	0	0	214.711	0.861475	0	0	
2	3	0	11	9	720	862	[696,837,748,886]	1345.86	1841.44					9	0	0	0	0	166.199	0.875544	0	0	
2	3	0	26	1	368	69	[345,51,391,88]	594.86	1754.68					1	176	0.00863325	5	0.00387597	114.406	0.953758	15.6089	13.6434	
2	3	0	26	2	276	156	[254,126,298,179]	567.63	1729.5					2	141	0.00430031	5	0.00289519	153.162	0.93802	12.5049	8.16445	
2	3	0	26	3	296	748	[275,730,316,769]	572.9	1552.13					3	0	0	0	0	111.391	0.948204	0	0	
2	3	0	26	4	244	910	[216,888,268,933]	557.11	1504.19					4	82	0.00267463	4	0.00221484	160.169	0.889734	7.27233	4.54042	
2	3	0	26	5	312	984	[288,956,332,1011]	577.75	1482.07					5	0	0	0	0	132.853	0.822804	0	0	
2	3	0	26	6	258	973	[232,948,292,997]	562.93	1485.4					6	111	0.00343388	4	0.00195027	181.897	0.82435	9.84425	5.41199	
2	3	0	28	1	377	46	[355,27,397,70]	1243.21	1760.89					1	20	0.000617553	1	0.00071736	123.63	0.878405	1.77374	1.43472	
2	3	0	28	2	285	151	[263,134,305,170]	1215.68	1729.98					2	32	0.00121233	1	0.00082713	107.222	0.955152	2.83798	2.64682	
2	3	0	28	3	342	211	[319,188,364,234]	1232.75	1712.46					3	0	0	0	0	143.85	0.935036	0	0	
2	3	0	28	4	293	287	[264,261,318,312]	1217.99	1689.79					4	80	0.00174424	3	0.00150981	176.221	0.81468	7.09495	4.02617	
2	3	0	28	5	146	481	[126,461,175,501]	1175.89	1632.06					5	73	0.00238283	2	0.00126823	139.859	0.875572	6.47414	4.62904	
2	3	0	28	6	108	520	[81,502,127,541]	1162.24	1620.25					6	0	0	0	0	116.269	0.893643	0	0	
2	3	0	28	7	69	540	[48,520,94,560]	1151.77	1614.38					7	42	0.00358136	1	0.000764526	116.002	0.868784	3.72485	3.21101	
2	3	0	28	8	630	578	[598,551,654,611]	1317.62	1601.8					8	214	0.00544598	7	0.0030541	203.27	0.862058	18.979	9.33682	
2	3	0	28	9	337	49	[315,27,360,70]	1231.58	1760.51					9	0	0	0	0	137.819	0.868096	0	0	
2	3	0	28	10	526	130	[502,102,549,157]	1287.79	1736.31					10	159	0.00409925	7	0.00345338	179.768	0.90954	14.1012	7.8441	
2	3	0	28	11	486	703	[456,678,513,730]	1275.3	1565.57					11	223	0.00525792	12	0.00517911	205.488	0.915313	19.7772	9.62451	
2	3	0	25	1	848	275	[828,255,870,301]	415.25	1692.42					1	28	0.00147618	1	0.000726216	122.122	0.936418	2.48323	2.03341	
2	3	0	25	2	733	551	[716,537,748,570]	380.33	1610.21					2	37	0.00200548	1	0.00117371	75.5612	0.935655	3.28142	4.34272	
2	3	0	25	3	42	716	[21,696,67,737]	175.16	1561.8					3	137	0.00518289	7	0.004811	129.039	0.924447	12.1501	9.41581	
2	3	0	25	4	717	723	[700,705,744,742]	376.94	1559.52					4	158	0.0156	4	0.00318218	111.479	0.948641	14.0125	12.5696	
2	3	0	25	5	1007	1031	[987,1013,1026,1049]	461.92	1468.11					5	48	0.0045906	2	0.00185529	95.6045	0.940186	4.25697	4.45269	
2	3	0	25	6	73	1047	[52,1026,95,1068]	183.87	1463.38					6	0	0	0	0	126.468	0.897865	0	0	
2	3	0	25	7	575	258	[544,230,604,286]	333.3	1698.73					7	270	0.00858431	12	0.00452489	235.198	0.962581	23.9455	10.181	
2	3	0	25	8	624	716	[603,695,647,738]	348.43	1561.8					8	220	0.0121784	9	0.00607287	131.434	0.968197	19.5111	14.8448	
2	3	0	25	9	697	790	[676,769,719,811]	369.98	1540.14					9	52	0.00296197	2	0.00145243	122.122	0.990359	4.61172	3.77633	
2	3	0	25	10	874	883	[844,855,902,911]	422.32	1511.78					10	554	0.0126773	28	0.0106789	232.537	0.969217	49.1325	21.1289	
2	3	0	32	1	889	171	[869,152,909,195]	427.11	1400.72					1	147	0.00556051	7	0.0050578	122.743	0.974624	13.037	10.6214	
2	3	0	32	2	725	180	[709,165,752,196]	379.75	1398.64					2	225	0.0111616	8	0.00714286	99.3293	0.951419	19.9546	20.0893	
2	3	0	32	3	558	233	[540,216,577,255]	328.8	1382.47					3	77	0.00578252	3	0.0027027	98.4425	0.936798	6.82889	6.93694	
2	3	0	32	4	64	74	[36,49,95,100]	182.44	1430.68					6	521	0.0124231	11	0.00511152	190.854	0.836549	46.2059	24.21	
2	3	0	32	5	396	98	[366,70,439,161]	282.65	1418.53					8	810	0.0133864	28	0.00626258	396.519	0.819613	71.8364	18.1168	
2	3	0	32	6	847	505	[822,483,870,529]	414.24	1301.64					9	54	0.00327507	2	0.00119048	148.994	0.915731	4.78909	3.21429	
2	3	0	14	1	182	72	[158,53,208,93]	216.55	2076.65					1	0	0	0	0	129.572	0.918575	0	0	
2	3	0	14	2	303	83	[285,68,318,105]	252.41	2072.45					2	0	0	0	0	84.696	0.934238	0	0	
2	3	0	14	3	229	92	[208,74,248,116]	230.24	2070.04					3	0	0	0	0	111.834	0.95039	0	0	
2	3	0	14	4	119	110	[98,90,140,133]	197.76	2065.37					4	236	0.0160583	8	0.00615385	115.293	0.922515	20.9301	18.1538	
2	3	0	14	5	294	116	[278,99,310,132]	249.91	2063.66					5	0	0	0	0	69.3532	0.839404	0	0	
2	3	0	14	6	138	137	[116,118,168,157]	204.33	2057.36					6	86	0.00255991	4	0.00270088	131.345	0.93398	7.62707	5.80689	
2	3	0	14	7	251	134	[229,121,274,149]	237.03	2058.28					7	0	0	0	0	93.2986	0.889546	0	0	
2	3	0	14	8	342	142	[320,118,369,166]	264.92	2054.93					8	0	0	0	0	147.841	0.862393	0	0	
2	3	0	14	9	194	193	[175,174,215,213]	220.42	2040.72					9	176	0.0083923	6	0.00449775	118.308	0.972425	15.6089	13.1934	
2	3	0	14	10	921	228	[905,212,942,244]	437.05	2029.86					10	0	0	0	0	83.0109	0.988444	0	0	
2	3	0	14	11	557	420	[537,401,579,445]	328.55	1972.36					11	0	0	0	0	120.348	0.887687	0	0	
2	3	0	14	12	351	475	[331,455,371,504]	266.79	1955.67					12	15	0.000399949	1	0.000629723	140.835	0.893542	1.3303	0.944584	
2	3	0	14	13	532	952	[509,929,554,975]	320.52	1814.52					14	21	0.000684512	1	0.000623053	142.342	0.877503	1.86242	1.30841	
2	3	0	14	14	909	322	[884,293,936,350]	432.75	2002.12					16	149	0.00370476	7	0.00314324	197.506	0.864838	13.2143	6.69062	
2	3	0	14	15	306	467	[281,443,332,494]	253.67	1958.48					17	40	0.00180725	1	0.000498753	177.817	0.824588	3.54748	1.99501	
2	3	0	14	16	683	935	[660,910,705,960]	365.3	1819.5					19	194	0.00601294	9	0.00496689	160.701	0.912257	17.2053	10.7064	
2	3	0	14	17	485	962	[460,937,511,986]	306.81	1811.87					20	96	0.00215191	4	0.00219298	161.765	0.849273	8.51394	5.26316	
2	3	0	17	1	447	77	[430,60,471,96]	-672.25	2074.94					1	145	0.00684073	4	0.00352423	100.66	0.949016	12.8596	12.7753	
2	3	0	17	2	590	135	[569,113,613,159]	-630.29	2057.32					2	23	0.000900534	1	0.00068306	129.838	0.881026	2.0398	1.57104	
2	3	0	29	1	561	100	[539,75,584,123]	1298.3	1422.63					1	40	0.00140952	2	0.00123839	143.229	0.859927	3.54748	2.47678	
2	3	0	29	2	560	192	[539,172,579,221]	1297.57	1393.64					2	25	0.000787827	1	0.000660066	134.361	0.906406	2.21717	1.65017	
2	3	0	29	3	107	219	[73,193,144,244]	1163.31	1387.44					3	381	0.00982505	17	0.00647126	232.98	0.838581	33.7897	14.5032	
2	3	0	29	4	532	333	[511,312,553,357]	1289.35	1352.65					5	0	0	0	0	132.055	0.912797	0	0	
2	3	0	29	5	631	397	[609,377,654,417]	1319.6	1334.16					6	0	0	0	0	115.559	0.923752	0	0	
2	3	0	29	6	393	471	[365,450,415,493]	1247.33	1312.06					7	209	0.00802678	7	0.00440529	140.923	0.901236	18.5356	13.1529	
2	3	0	29	7	392	524	[360,505,413,547]	1245.9	1295.68					8	200	0.00734035	7	0.00457217	135.78	0.874717	17.7374	13.0634	
2	3	0	29	8	232	545	[210,524,254,572]	1199.99	1289.03					9	39	0.000910753	2	0.00119832	148.018	0.919697	3.45879	2.33673	
2	3	0	29	9	386	566	[364,543,406,592]	1245.76	1283.21					10	41	0.00194056	1	0.00062422	142.076	0.836038	3.63616	2.5593	
2	3	0	29	10	112	962	[88,943,136,984]	1164.05	1165.36					11	114	0.00720227	4	0.00270088	131.345	0.917835	10.1103	7.6975	
2	3	0	29	11	949	69	[919,37,980,102]	1413.77	1431.52					12	572	0.0123317	26	0.00869856	265.085	0.887582	50.7289	19.1368	
2	3	0	29	12	347	85	[322,61,374,108]	1234.69	1427.22					13	0	0	0	0	164.692	0.918153	0	0	
2	3	0	29	13	504	119	[481,96,548,144]	1283.84	1416.61					14	0	0	0	0	206.818	0.832264	0	0	
2	3	0	29	14	389	136	[368,116,412,158]	1247.34	1411.92					15	0	0	0	0	126.822	0.939938	0	0	
2	3	0	29	15	604	242	[578,217,636,269]	1312.06	1379.89					16	425	0.0105202	11	0.00471496	206.907	0.925268	37.6919	18.2169	
2	3	0	29	16	846	255	[820,226,872,283]	1383	1376.35					17	209	0.00695834	9	0.00379267	210.454	0.891238	18.5356	8.80742	
2	3	0	29	17	171	487	[146,461,203,511]	1182.42	1307.28					18	409	0.0147391	18	0.00852273	187.307	0.904875	36.2729	19.3655	
2	3	0	29	18	1020	530	[987,498,1063,564]	1436.14	1294.02					19	407	0.00548654	19	0.00506667	332.576	0.880952	36.0956	10.8533	
2	3	0	29	19	52	676	[24,645,80,705]	1146.66	1251.22					20	502	0.0135235	18	0.00689655	231.473	0.877319	44.5208	19.2337	
2	3	0	29	20	652	690	[623,662,689,718]	1325.98	1247.13					21	644	0.0148981	27	0.00904523	264.73	0.871541	57.1144	21.5745	
2	3	0	29	21	103	835	[78,810,131,872]	1161.65	1201.97					22	365	0.0156224	14	0.00537016	231.207	0.899083	32.3707	14.0008	
2	3	0	29	22	228	917	[198,888,258,949]	1198.87	1179.27					23	274	0.00628018	15	0.00545852	243.712	0.830809	24.3002	9.97089	
2	3	0	29	23	209	969	[179,935,237,1005]	1193.18	1163.18					24	561	0.015907	14	0.00481928	257.635	0.824374	49.7533	19.3115	
2	3	0	29	24	293	1043	[261,1017,322,1070]	1217.6	1141.28					25	50	0.000794972	2	0.000799041	221.983	0.883862	4.43434	1.9976	
2	3	0	35	1	513	262	[488,240,538,284]	-976.49	1374.44					2	0	0	0	0	151.122	0.901346	0	0	
2	3	0	35	2	55	311	[27,278,84,339]	-1113.06	1359.68					3	481	0.013154	18	0.00708661	225.265	0.869067	42.6584	18.937	
2	3	0	35	3	71	447	[46,427,97,469]	-1108.26	1319					4	34	0.00214896	1	0.000614251	144.382	0.891947	3.01535	2.08845	
2	3	0	35	4	874	859	[823,821,925,898]	-869.02	1195.93					5	1313	0.0156576	51	0.00830348	544.715	0.884137	116.446	21.3774	
2	3	0	23	1	729	647	[706,627,749,671]	-266.96	1582.02					1	0	0	0	0	126.822	0.907202	0	0	
2	3	0	23	2	407	556	[383,533,430,583]	-362.43	1608.85					3	90	0.00477096	3	0.00168634	157.774	0.855753	7.98182	5.05902	
2	3	0	23	3	863	681	[832,651,894,711]	-226.45	1572.36					4	735	0.013043	26	0.00893778	257.99	0.933696	65.1849	25.2664	
2	3	0	23	4	583	750	[557,722,613,780]	-309.57	1551.43					5	537	0.0124211	21	0.00855049	217.815	0.909061	47.6249	21.8648	
2	3	0	30	1	567	114	[548,95,586,136]	977.04	1417.84					1	169	0.00637233	5	0.00400962	110.593	0.944257	14.9881	13.5525	
2	3	0	30	2	214	386	[200,366,228,400]	872.03	1338.11					3	131	0.0148097	3	0.0039267	67.7568	0.93221	11.618	17.1466	
2	3	0	30	3	418	473	[399,453,438,502]	932.26	1310.27					4	106	0.00310433	3	0.00209497	127	0.877137	9.40081	7.40223	
2	3	0	30	4	124	714	[103,692,150,736]	845.41	1239.52					5	77	0.00178616	2	0.00127146	139.504	0.926364	6.82889	4.8951	
2	3	0	30	5	320	723	[301,705,339,743]	903.38	1236.67					6	33	0.00132944	1	0.00090009	98.5311	0.946967	2.92667	2.9703	
2	3	0	30	6	1012	764	[990,740,1042,788]	1110.31	1224.14					7	57	0.00170457	2	0.00106895	165.933	0.855705	5.05515	3.0465	
2	3	0	30	7	382	796	[364,779,399,814]	921.78	1215.15					8	29	0.00209324	1	0.00103734	85.4942	0.982556	2.57192	3.0083	
2	3	0	30	8	215	823	[198,803,235,851]	872.46	1206.24					9	41	0.00108215	1	0.000744048	119.195	0.882707	3.63616	3.0506	
2	3	0	30	9	993	866	[970,844,1014,892]	1103.43	1193.86					10	115	0.00605468	4	0.00240674	147.398	0.902716	10.199	6.91937	
2	3	0	30	10	217	869	[194,852,235,887]	871.62	1193.66					11	0	0	0	0	93.742	0.901135	0	0	
2	3	0	30	11	392	934	[376,916,407,951]	924.61	1174.16					12	0	0	0	0	75.2952	0.979526	0	0	
2	3	0	30	12	140	945	[122,928,164,967]	850.16	1170.39					13	56	0.00180655	2	0.00171674	103.32	0.898825	4.96647	4.80687	
2	3	0	30	13	175	979	[153,955,197,1004]	859.22	1160.34					14	226	0.00731062	7	0.00455729	136.223	0.876382	20.0432	14.7135	
2	3	0	30	14	954	1008	[932,984,978,1031]	1092.04	1151.85					15	190	0.00796656	8	0.0052459	135.248	0.909875	16.8505	12.459	
