Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	cbd6da7f-0b6b-46a4-8ec6-6bf1188546e6
Plate Name	Recconst.cleavedcasp3 rep1
Measurement	Measurement 1
Evaluation	Evaluation7

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Region Intensity - Mean per Well	Spots - Spot to Region Intensity - Mean per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Formula - Mean per Well	Number of Analyzed Fields	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
5	4	0	10246	136.757874746	46.9921274939	0.934315830568	0.247741295576	2919	0.0991997660235	451.897398192	4497.15758822	0.099193008907	3600.91583101	20.7242206235	3561.91514229	1.13430747431	9573	136.641890683	304.48134369	3613.98559812	3491.6887598	6.319231171	0.0012388277546	0.304920087747	0.000371242381325	2.26116153584	0.0210488452506	25	0	0	37	0	5					
5	5	0	14235	140.075219949	45.1282727377	0.938461538462	0.240323816092	3476	0.0960179828311	405.597608994	4355.28711162	0.0966069579744	3535.18074429	20.669447641	3498.10704299	1.12501748947	13359	139.882635065	274.909478664	3536.77085577	3437.15140012	5.37817201886	0.00109104410163	0.2601991167	0.00037033493015	1.9244497382	0.020676135861	25	0	0	37	0	5					
5	6	0	5812	234.299612676	87.371260056	0.924466620785	0.264272784023	1967	0.0966338518577	414.613990872	4462.38027453	0.0973668424485	3620.65840078	20.6970005084	3594.82175076	1.12299599175	5373	233.659129761	421.730168521	3662.45227811	3553.47018925	7.57695886842	0.00105742057279	0.366089707798	0.000348742074892	2.71131717644	0.0196149712654	25	0	0	37	0	5					
5	7	0	8138	242.128580373	83.8046967391	0.917915949865	0.274509596478	2373	0.100843275842	461.01997875	4522.80235988	0.102429395827	3586.57114663	22.0779603877	3564.40590907	1.13255369928	7470	242.332295373	413.172581797	3579.53720427	3482.32521477	7.01352074967	0.001207460107	0.317670682731	0.000324885235262	2.50947232177	0.0201648619604	25	0	0	37	0	5					
5	8	0	9026	245.609878738	79.8490881036	0.916685131841	0.276372870123	2084	0.0940419426605	398.937777434	4337.61276392	0.0947293765274	3525.56150342	20.5906909789	3488.74377075	1.1236169381	8274	244.805357185	396.846837751	3526.79948627	3435.72228038	5.18624607203	0.000780820890725	0.251873338168	0.000255047003638	1.85540122581	0.014993838316	25	0	0	37	0	5					
6	4	0	15015	138.23588878	47.2258575147	0.933466533467	0.24922058694	3493	0.10045723325	450.188905351	4398.35184655	0.102020357447	3490.62445382	22.0506727741	3462.14081988	1.13534145361	14016	138.056856888	270.728765933	3483.83973207	3369.46241522	5.49536244292	0.00123044484546	0.249215182648	0.000354593388718	1.9661355628	0.021350312144	25	0	0	37	0	5					
6	5	0	15103	138.286986539	46.388484018	0.9359729855	0.244809158532	3025	0.0964095705709	420.279370482	4350.61950413	0.0974549524407	3510.39173787	21.8968595041	3475.40628946	1.12831634472	14136	138.202188314	266.936901738	3495.38514057	3391.89287312	4.68576683645	0.00106811443223	0.213992642898	0.000312476037991	1.67655468925	0.0183013731515	25	0	0	37	0	5					
6	6	0	9319	247.730133562	86.3357615254	0.914153879172	0.280151720335	2246	0.0985373125936	438.751901053	4415.97328584	0.0993149443939	3542.47812121	20.8143365984	3518.24204996	1.12911277695	8519	247.553762876	419.564148668	3529.68745796	3429.74131447	5.48761591736	0.000850494637271	0.263645967837	0.000254171998492	1.96342689831	0.0149537064327	25	0	0	37	0	5					
6	7	0	7243	244.283812602	85.8053881647	0.918542040591	0.273556012567	1837	0.0965890096327	437.310458697	4377.273816	0.0976192947835	3503.80563183	21.9096352749	3471.58073899	1.13064104427	6653	243.417516364	435.780322908	3513.08131372	3413.96448669	6.04960168345	0.0009066552496	0.276116037878	0.000244421290925	2.16471767392	0.0151713766451	25	0	0	37	0	5					
6	8	0	8370	244.574215405	79.6042255278	0.918399044205	0.273772158099	2034	0.100304752943	480.74314531	4487.53146509	0.101945503883	3542.46634804	21.8770894789	3538.82852571	1.12803381446	7687	244.369656011	408.19241889	3512.4156823	3422.62216673	5.78873422662	0.00110187060601	0.264602575777	0.000268416670962	2.07138179033	0.0172742963523	25	0	0	37	0	5					
