Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	149f8699-ef32-4688-958a-7871782cfc72
Plate Name	MDAWT24H-1
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	2	16	46	478	[27,462,71,495]	-1586.01	1973.44					21	132.85	18	258.181	8172.69	1924.95	3628.3	1754.73	0	0	0	0	0	0	
5	3	0	2	17	95	515	[74,497,120,537]	-1557.51	1951.86					22	137.505	19	356.297	6020.79	1922.95	3228.89	1908.68	179	0.0604537	1	0.00100503	64.0976	0.50239	
5	3	0	2	18	327	547	[309,531,349,565]	-1417.55	1932.4					24	84.8667	20	284.321	7631.21	1886.62	3669.19	1711.13	82	0.0206123	1	0.00125945	29.3631	0.288406	
5	3	0	2	19	244	551	[218,529,261,568]	-1470.32	1931.64					25	112.081	21	277.159	9082.33	2182.26	4057.81	1828.76	148	0.0589167	2	0.00258398	52.9969	0.533989	
5	3	0	2	20	381	558	[360,541,398,574]	-1387.55	1925.64					26	88.4475	22	204.468	5436.36	1882.12	3555.53	1764.29	111	0.0449841	3	0.00525394	39.7477	0.542873	
5	3	0	2	21	408	569	[391,548,445,588]	-1366.19	1920.9					27	155.052	23	317.623	7113.26	2063.61	3694.65	1744.67	105	0.0265428	6	0.00676437	37.5992	0.33058	
5	3	0	2	22	296	587	[279,555,317,622]	-1437.42	1905.8					28	170.808	24	388.525	7283.31	1870.62	3571.93	1778.68	141	0.0301613	6	0.00552995	50.4903	0.362911	
5	3	0	2	23	332	650	[302,622,368,670]	-1413.58	1873.32					29	155.768	25	495.235	4254.69	1775.88	3101.64	1665.08	106	0.0180001	6	0.00433839	37.9572	0.21404	
5	3	0	2	24	279	646	[254,611,302,667]	-1446.09	1876.07					30	136.431	26	390.315	6217.3	1910.54	3631.48	1742.22	87	0.0137514	6	0.00550459	31.1536	0.222897	
5	3	0	2	25	393	685	[376,667,415,707]	-1378.27	1850.18					31	115.662	27	319.414	8746.06	2231.79	4510.5	1808.12	122	0.0579032	4	0.00448431	43.6866	0.38195	
5	3	0	2	26	59	693	[48,681,70,716]	-1579.32	1842.43					32	75.5564	28	118.885	5542.75	1861.24	2939.08	1715.23	24	0.00763745	1	0.00301205	8.59409	0.201876	
5	3	0	2	27	43	704	[32,686,52,715]	-1588.17	1840.06					33	39.7477	29	90.238	5006.15	1860.13	2946.01	1711.21	0	0	0	0	0	0	
5	3	0	2	28	65	762	[41,741,103,785]	-1571.89	1803.75					34	134.641	30	512.781	8036.34	2024.26	4393.63	1843.7	187	0.0254825	4	0.0027933	66.9623	0.364678	
5	3	0	2	29	270	781	[255,755,286,799]	-1452.83	1793.94					36	77.7049	32	259.613	7077.29	2081.66	4416.81	1976.45	99	0.0880851	3	0.00413793	35.4506	0.381337	
5	3	0	2	30	283	809	[247,794,299,825]	-1450.78	1775.58					37	136.789	33	280.74	6963.6	1747.48	3843.9	1800.54	118	0.0392729	4	0.00510204	42.2543	0.420317	
5	3	0	2	31	93	814	[81,807,100,825]	-1559.23	1772.85					38	44.0447	34	34.0183	1901.41	2194.61	2096.92	1666.09	0	0	0	0	0	0	
5	3	0	2	32	308	821	[289,802,330,837]	-1428.83	1769.78					39	103.487	35	249.945	11266.2	2165.43	5361.04	1968.5	145	0.0949471	6	0.00859599	51.9226	0.580128	
5	3	0	2	33	84	838	[61,813,104,864]	-1565.12	1758.52					40	168.301	36	395.328	7101.39	2001.25	3796.37	1837.97	140	0.0350572	3	0.00271739	50.1322	0.354136	
5	3	0	2	34	181	46	[140,24,215,68]	-1508.87	2232.83					45	233.115	38	496.309	8414.43	1969.14	3818.23	1707.2	149	0.0177052	4	0.002886	53.355	0.300216	
5	3	0	2	35	280	69	[256,43,304,95]	-1446.3	2219.2					46	249.587	39	435.434	9897.81	2271.22	4098.65	1826.2	19	0.00159624	1	0.000822368	6.80366	0.0436346	
5	3	0	2	36	110	91	[72,59,149,118]	-1547.13	2207.52					47	211.63	40	686.453	9443.26	2005.01	4309.04	1796.94	150	0.03138	1	0.000521648	53.7131	0.218515	
5	3	0	2	37	441	88	[415,64,471,112]	-1350.68	2206.98					48	179.044	41	535.34	8716.17	2334.47	4379.87	1732.24	53	0.00676098	2	0.00133779	18.9786	0.0990025	
5	3	0	2	38	517	136	[495,115,537,156]	-1304.22	2179.17					49	157.916	42	245.29	9191.63	2331.03	4053.19	1809.89	91	0.0517798	4	0.00583942	32.5859	0.37099	
5	3	0	2	39	876	195	[859,171,896,227]	-1089.24	2141.04					50	136.073	43	385.302	6193.38	1884.98	3097.28	1765.36	126	0.0139882	9	0.00836431	45.119	0.327016	
5	3	0	2	40	697	228	[671,203,718,250]	-1197.51	2124					51	163.646	44	404.997	10239.4	2419.31	4240.05	1795.67	69	0.00771612	5	0.00442087	24.708	0.170372	
5	3	0	2	41	653	284	[624,262,697,306]	-1218.95	2089.76					52	411.084	45	338.034	9540.32	1810.07	3383.07	1748.68	46	0.00552765	2	0.00211864	16.472	0.136081	
5	3	0	2	42	727	340	[653,324,761,361]	-1190.64	2055.67					53	229.534	46	727.275	6161.69	1812.53	3488.25	1741.69	307	0.0484917	9	0.00443131	109.933	0.422124	
5	3	0	2	43	108	354	[79,332,131,393]	-1551.13	2046.36					55	133.208	48	587.263	7360.02	2824.12	6458.94	4055.35	0	0	0	0	0	0	
5	3	0	2	44	220	320	[194,250,266,400]	-1478.48	2056.74					56	137.864	49	1728.13	9799.38	2811.49	4562.06	3119.88	53	0.00122471	1	0.000207211	18.9786	0.030669	
5	3	0	2	45	139	450	[107,409,161,494]	-1533.01	1989.44					58	248.871	50	756.996	9856.88	2337.31	4022.17	1854.86	133	0.0148858	3	0.00141911	47.6256	0.175694	
5	3	0	2	46	143	508	[120,487,173,565]	-1525.28	1949.16					59	248.512	51	398.193	7505.54	1813.82	4649.74	1919.88	221	0.0467985	8	0.00719424	79.1373	0.555007	
5	3	0	2	47	161	656	[142,636,193,693]	-1517.33	1864.48					63	130.344	53	408.936	6894.12	1769.59	3827.76	1768.46	162	0.0405512	7	0.0061296	58.0101	0.39615	
5	3	0	2	48	192	677	[173,657,209,715]	-1500.91	1850.99					64	140.012	54	357.013	6511.89	1740.94	3224.22	1681.86	120	0.024667	6	0.00601805	42.9705	0.336122	
