Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	ec26b9de-4fa4-4782-9f21-bfde738eb120
Plate Name	CD_4percent_formaldehide_070524
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Total Spot Area (2)	full nuclei - Relative Spot Intensity (2)	full nuclei - Number of Spots (2)	full nuclei - Number of Spots per Area of Nucleus (2)	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - areaum2RPA Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyRPAspots	full nuclei - %areacoveredbyspots	
2	3	0	1	49	478	349	[439,314,519,383]	-11.26	35.92					63	687	0.027051	42	0.00969977	0	0	0	0	153.117	0.986475	24.2937	0	0	15.8661	
2	3	0	1	50	664	360	[625,317,702,398]	23.69	33.77					64	399	0.0232821	26	0.0055926	0	0	0	0	164.398	0.965688	14.1094	0	0	8.58249	
2	3	0	1	51	863	348	[734,271,947,429]	57.77	36.78					65	531	0.0117917	23	0.0010564	0	0	0	0	769.9	0.824455	18.7772	0	0	2.43891	
2	3	0	1	52	981	443	[935,398,1028,487]	83.2	18.07					66	162	0.0249388	4	0.000623539	0	0	0	0	226.847	0.976437	5.72863	0	0	2.52533	
2	3	0	1	53	429	464	[364,415,483,513]	-21.44	14.26					67	1629	0.058947	64	0.00692791	0	0	0	0	326.674	0.986016	57.6046	0	0	17.6337	
2	3	0	1	54	99	493	[62,453,136,534]	-82.72	8.62					69	1095	0.0446952	42	0.00925314	0	0	0	0	160.508	0.997313	38.7213	0	0	24.1243	
2	3	0	1	55	694	499	[643,428,744,554]	29.51	8.51					70	1596	0.0333098	66	0.00732276	0	0	0	0	318.717	0.865857	56.4377	0	0	17.7078	
2	3	0	1	56	904	503	[857,468,945,540]	68.46	6.59					71	13	0.000109303	2	0.000393778	0	0	0	0	179.603	0.844193	0.459705	0	0	0.255956	
2	3	0	1	57	813	565	[776,532,853,600]	51.68	-5.07					72	1507	0.0389974	32	0.00757935	0	0	0	0	149.298	0.988089	53.2904	0	0	35.694	
2	3	0	1	58	157	623	[116,586,204,663]	-71.15	-15.69					73	575	0.0354795	21	0.00400993	0	0	0	0	185.19	0.97442	20.3331	0	0	10.9796	
2	3	0	1	59	793	643	[747,603,833,695]	47.25	-20.39					74	71	0.00370109	5	0.000838364	46	0.000281224	1	0.000167673	210.899	0.921264	2.5107	1.62665	0.00771294	1.19048	
2	3	0	1	60	249	684	[211,646,302,722]	-53.63	-26.58					75	14	0.000777152	1	0.000194401	0	0	0	0	181.902	0.876602	0.495067	0	0	0.272162	
2	3	0	1	61	942	689	[892,654,1002,725]	76.77	-28.38					76	121	0.0107553	4	0.000638264	0	0	0	0	221.613	0.920212	4.27879	0	0	1.93075	
2	3	0	1	62	307	721	[264,683,344,760]	-43.99	-34.54					77	0	0	0	0	0	0	0	0	160.013	0.83653	0	0	0	0	
2	3	0	1	63	656	734	[587,695,695,790]	19.52	-38.12					78	459	0.0211022	22	0.0033789	0	0	0	0	230.242	0.851812	16.2311	0	0	7.04961	
2	3	0	1	64	401	855	[365,819,438,908]	-26.16	-60.84					79	110	0.00229976	12	0.00237906	0	0	0	0	178.366	0.919001	3.88981	0	0	2.18081	
2	3	0	1	65	680	879	[632,836,728,941]	26.05	-65.63					80	19	0.000176698	2	0.0002936	0	0	0	0	240.886	0.829729	0.671877	0	0	0.27892	
2	3	0	1	66	482	932	[439,886,536,976]	-10.66	-73.52					81	65	0.000935083	4	0.000602682	0	0	0	0	234.697	0.864475	2.29853	0	0	0.979358	
2	3	0	1	67	631	975	[580,922,722,1037]	18.3	-82.31					82	442	0.0354933	29	0.00286335	0	0	0	0	358.146	0.649998	15.63	0	0	4.36414	
2	3	0	1	68	499	1018	[457,969,541,1063]	-7.74	-89.89					83	1576	0.0556404	39	0.00630762	0	0	0	0	218.643	0.887492	55.7304	0	0	25.4892	
2	3	0	1	69	757	1021	[723,988,791,1055]	41	-90.51					84	124	0.0149932	10	0.00285551	0	0	0	0	123.838	0.977246	4.38488	0	0	3.54083	
2	3	0	1	70	308	906	[282,882,337,940]	-43.46	-69.33					85	0	0	0	0	0	0	0	0	76.7	0.7827	0	0	0	0	
2	3	0	2	1	1039	41	[1005,8,1073,80]	-521.07	708.37					7	49	0.00281635	3	0.000801068	0	0	0	0	132.43	0.964429	1.73274	0	0	1.30841	
2	3	0	2	2	546	52	[513,19,588,85]	-612.86	706.23					8	0	0	0	0	0	0	0	0	112.946	0.842522	0	0	0	0	
2	3	0	2	3	157	96	[120,36,184,127]	-688.05	700.36					9	0	0	0	0	0	0	0	0	123.908	0.605787	0	0	0	0	
2	3	0	2	4	96	76	[41,42,133,116]	-699.47	701.58					10	397	0.00416807	10	0.00210217	0	0	0	0	168.217	0.766315	14.0387	0	0	8.3456	
2	3	0	2	5	684	118	[661,90,707,145]	-587.71	694.5					12	29	0.00217316	2	0.00100604	0	0	0	0	70.2995	0.969712	1.0255	0	0	1.45875	
2	3	0	2	6	782	136	[757,110,821,162]	-568.65	691.42					13	40	0.00129531	5	0.0022604	0	0	0	0	78.2206	0.916273	1.41448	0	0	1.80832	
2	3	0	2	7	899	146	[862,109,932,195]	-547.38	688.66					14	95	0.00283585	11	0.00273156	0	0	0	0	142.403	0.830881	3.35938	0	0	2.35908	
2	3	0	2	8	270	171	[232,133,305,212]	-666.02	684.11					15	183	0.00405376	19	0.00408778	0	0	0	0	164.362	0.885334	6.47123	0	0	3.93718	
2	3	0	2	9	573	283	[540,252,615,313]	-608.17	663.72					16	16	0.000738048	3	0.000895522	0	0	0	0	118.462	0.941919	0.565791	0	0	0.477612	
2	3	0	2	10	860	278	[822,246,923,315]	-552.51	663.04					17	81	0.011513	3	0.000633847	0	0	0	0	167.368	0.882204	2.86432	0	0	1.71139	
2	3	0	2	11	609	322	[565,288,634,352]	-603.16	655.86					18	0	0	0	0	0	0	0	0	99.7914	0.783959	0	0	0	0	
2	3	0	2	12	271	272	[235,237,316,346]	-664.34	661.96					19	29	0.000627342	4	0.000621697	0	0	0	0	227.519	0.865771	1.0255	0	0	0.45073	
2	3	0	2	13	801	328	[755,298,852,360]	-565.23	654.7					20	67	0.00220512	2	0.000409668	0	0	0	0	172.637	0.910479	2.36925	0	0	1.37239	
2	3	0	2	14	483	371	[448,339,540,405]	-623.88	646.33					21	273	0.0151255	18	0.00388769	0	0	0	0	163.726	0.8632	9.65381	0	0	5.89633	
2	3	0	2	15	573	372	[542,345,613,400]	-607.88	646.23					22	0	0	0	0	0	0	0	0	102.444	0.861611	0	0	0	0	
2	3	0	2	16	854	368	[823,345,877,392]	-556.43	646.96					23	0	0	0	0	0	0	0	0	63.0503	0.925289	0	0	0	0	
2	3	0	2	17	806	428	[772,378,840,470]	-565.29	637.08					25	782	0.0264912	35	0.00759713	0	0	0	0	162.912	0.932728	27.653	0	0	16.9742	
2	3	0	2	18	631	440	[603,415,659,475]	-597.96	633.32					26	0	0	0	0	0	0	0	0	81.6154	0.832546	0	0	0	0	
2	3	0	2	19	677	465	[643,427,716,502]	-588.69	629.45					27	308	0.0082451	13	0.00327373	0	0	0	0	140.422	0.865348	10.8915	0	0	7.75623	
2	3	0	2	20	278	468	[228,430,315,503]	-665.46	629.29					28	0	0	0	0	0	0	0	0	164.15	0.884681	0	0	0	0	
2	3	0	2	21	745	465	[712,435,777,497]	-576.65	628.74					29	0	0	0	0	0	0	0	0	112.699	0.894643	0	0	0	0	
2	3	0	2	22	250	521	[224,495,276,554]	-669.48	617.93					30	57	0.0147438	1	0.000413052	0	0	0	0	85.6113	0.938672	2.01563	0	0	2.3544	
2	3	0	2	23	736	553	[682,499,772,600]	-579.02	613					31	58	0.00174675	4	0.000848716	0	0	0	0	166.661	0.674366	2.05099	0	0	1.23064	
2	3	0	2	24	680	573	[647,519,713,611]	-588.91	609.31					32	235	0.00585897	22	0.00533075	0	0	0	0	145.939	0.875992	8.31006	0	0	5.69421	
2	3	0	2	25	897	582	[866,541,929,644]	-547.7	604.86					33	703	0.0300036	31	0.00609996	0	0	0	0	179.709	0.874388	24.8594	0	0	13.8331	
2	3	0	2	26	488	597	[460,569,517,628]	-624.81	604.17					34	0	0	0	0	0	0	0	0	87.344	0.918097	0	0	0	0	
2	3	0	2	27	784	595	[755,565,812,624]	-569.01	604.57					35	0	0	0	0	0	0	0	0	88.228	0.923419	0	0	0	0	
2	3	0	2	28	162	614	[122,584,196,653]	-686.21	600.57					36	0	0	0	0	0	0	0	0	136.674	0.796079	0	0	0	0	
2	3	0	2	29	562	606	[543,584,587,629]	-610.4	602.19					37	0	0	0	0	0	0	0	0	51.7345	0.92739	0	0	0	0	
2	3	0	2	30	614	654	[575,630,651,690]	-601.68	592.94					38	0	0	0	0	0	0	0	0	86.0002	0.595163	0	0	0	0	
2	3	0	2	31	516	652	[480,620,554,687]	-619.3	593.4					39	15	0.000637597	3	0.000780843	0	0	0	0	135.861	0.870672	0.530429	0	0	0.390422	
2	3	0	2	32	149	702	[106,655,188,748]	-688.78	584.32					41	623	0.018024	31	0.00589242	0	0	0	0	186.039	0.819066	22.0305	0	0	11.8419	
2	3	0	2	33	198	682	[180,658,220,740]	-678.88	585.47					42	0	0	0	0	0	0	0	0	78.5742	0.737698	0	0	0	0	
2	3	0	2	34	431	707	[390,663,499,753]	-633.64	584.02					43	557	0.0216402	27	0.00405041	0	0	0	0	235.723	0.793307	19.6966	0	0	8.35584	
2	3	0	2	35	1046	718	[1019,681,1074,758]	-519.76	581.13					44	547	0.0197754	20	0.00597729	0	0	0	0	118.321	0.946754	19.343	0	0	16.3479	
2	3	0	2	36	516	741	[480,707,553,780]	-619.22	577.03					46	92	0.00548726	6	0.00146377	0	0	0	0	144.949	0.855715	3.2533	0	0	2.24445	
2	3	0	2	37	91	740	[63,710,126,767]	-699.33	577.21					47	0	0	0	0	0	0	0	0	84.1261	0.886659	0	0	0	0	
2	3	0	2	38	818	740	[787,709,851,777]	-562.73	576.68					48	14	0.000398258	2	0.000589102	0	0	0	0	120.054	0.954617	0.495067	0	0	0.412371	
2	3	0	2	39	324	774	[300,738,347,805]	-655.8	571.31					49	0	0	0	0	0	0	0	0	88.2634	0.923631	0	0	0	0	
2	3	0	2	40	458	750	[428,722,482,774]	-630.4	575.38					50	0	0	0	0	0	0	0	0	69.5216	0.880703	0	0	0	0	
2	3	0	2	41	577	806	[546,778,609,844]	-608.03	564.47					51	0	0	0	0	0	0	0	0	101.064	0.854889	0	0	0	0	
2	3	0	2	42	692	823	[657,786,729,866]	-585.86	561.5					53	0	0	0	0	0	0	0	0	139.927	0.756636	0	0	0	0	
2	3	0	2	43	983	864	[954,830,1012,900]	-531.47	553.49					54	456	0.047786	3	0.00103591	0	0	0	0	102.408	0.914314	16.125	0	0	15.7459	
2	3	0	2	44	817	950	[777,917,846,990]	-563.71	537.25					55	21	0.000299281	2	0.00060423	0	0	0	0	117.048	0.874262	0.742601	0	0	0.634441	
2	3	0	2	45	431	983	[403,954,460,1016]	-635.62	531.37					56	38	0.00404113	2	0.00070373	0	0	0	0	100.499	0.969068	1.34375	0	0	1.33709	
2	3	0	2	46	287	1005	[255,973,320,1042]	-662.43	527.03					57	335	0.0107888	16	0.00452361	0	0	0	0	125.075	0.944148	11.8462	0	0	9.4713	
2	3	0	2	47	776	1003	[744,973,810,1038]	-570.13	527.34					58	0	0	0	0	0	0	0	0	90.9509	0.799368	0	0	0	0	
2	3	0	2	48	380	1029	[314,966,418,1070]	-647.57	525.11					59	445	0.0205042	16	0.00243013	0	0	0	0	232.823	0.822674	15.7361	0	0	6.75881	
2	3	0	2	49	875	80	[831,41,935,121]	-550.72	701.6					63	1484	0.0344857	45	0.00744294	0	0	0	0	213.798	0.944357	52.4771	0	0	24.5452	
2	3	0	2	50	196	152	[158,118,231,199]	-680.15	686.68					64	170	0.00332381	10	0.00220022	0	0	0	0	160.72	0.948662	6.01153	0	0	3.74037	
2	3	0	2	51	390	173	[351,117,428,258]	-643.48	681.82					65	560	0.0169477	21	0.00283019	0	0	0	0	262.386	0.849653	19.8027	0	0	7.54717	
2	3	0	2	52	579	177	[537,136,628,220]	-606.93	683.15					66	476	0.0230249	35	0.00584795	0	0	0	0	211.641	0.96791	16.8323	0	0	7.95322	
2	3	0	2	53	836	184	[789,136,881,237]	-559.5	681.46					67	851	0.014736	31	0.00447008	0	0	0	0	245.235	0.903505	30.093	0	0	12.2711	
2	3	0	2	54	80	209	[45,175,121,243]	-700.83	677.31					68	926	0.0309455	40	0.00959233	0	0	0	0	147.459	0.986461	32.7452	0	0	22.2062	
2	3	0	2	55	671	300	[633,262,708,351]	-590.2	658.76					70	1032	0.0418703	44	0.00831601	0	0	0	0	187.1	0.952988	36.4935	0	0	19.5048	
2	3	0	2	56	469	308	[432,276,506,345]	-628.15	658.24					71	90	0.0209191	4	0.00102067	0	0	0	0	138.583	0.973309	3.18257	0	0	2.2965	
2	3	0	2	57	387	367	[354,330,420,407]	-644.04	647.4					72	0	0	0	0	0	0	0	0	144.312	0.969296	0	0	0	0	
2	3	0	2	58	946	438	[908,399,984,484]	-538.66	633.44					73	2350	0.0663887	13	0.00260104	0	0	0	0	176.739	0.996018	83.1006	0	0	47.0188	
2	3	0	2	59	850	478	[806,435,893,540]	-556.61	624.36					74	696	0.0407963	24	0.00347474	0	0	0	0	244.245	0.960326	24.6119	0	0	10.0767	
2	3	0	2	60	514	476	[473,440,552,515]	-620.09	626.74					75	813	0.0485653	23	0.00510884	0	0	0	0	159.199	0.992723	28.7493	0	0	18.0586	
2	3	0	2	61	1037	473	[1000,412,1074,527]	-521.32	628.04					76	435	0.0111553	26	0.00394119	0	0	0	0	233.283	0.881619	15.3824	0	0	6.59391	
2	3	0	2	62	586	556	[549,518,623,601]	-606.46	611.85					77	1133	0.0482718	24	0.00515353	0	0	0	0	164.681	0.929394	40.0651	0	0	24.329	
2	3	0	2	63	1014	551	[906,511,1068,587]	-529.73	613.49					78	0	0	0	0	0	0	0	0	268.008	0.626104	0	0	0	0	
2	3	0	2	64	54	571	[10,511,103,615]	-705.85	610.59					79	236	0.0209374	20	0.00308214	0	0	0	0	229.464	0.950224	8.34542	0	0	3.63692	
2	3	0	2	65	358	639	[308,591,408,701]	-649.14	594.84					80	136	0.00183186	19	0.00249278	0	0	0	0	269.529	0.928075	4.80922	0	0	1.78431	
2	3	0	2	66	832	673	[797,638,866,713]	-560.23	589.59					81	277	0.0103996	24	0.00594796	0	0	0	0	142.685	0.978781	9.79526	0	0	6.86493	
2	3	0	2	67	969	687	[925,653,1014,726]	-534.32	587.07					82	198	0.0123354	14	0.0029252	0	0	0	0	169.242	0.819336	7.00166	0	0	4.13707	
2	3	0	2	68	644	719	[610,685,678,779]	-595.33	578.64					83	738	0.0502636	27	0.00518632	0	0	0	0	184.094	0.931357	26.0971	0	0	14.176	
2	3	0	2	69	714	750	[672,706,750,795]	-583.03	575.47					84	1419	0.0463026	38	0.00703834	44	0.000355754	1	0.000185219	190.919	0.87053	50.1786	1.55593	0.00814966	26.2826	
2	3	0	2	70	913	778	[875,726,953,825]	-544.11	570.52					85	1422	0.0350811	35	0.00602306	0	0	0	0	205.488	0.870703	50.2847	0	0	24.4708	
2	3	0	2	71	166	778	[126,738,204,864]	-685.29	565.86					86	565	0.0252118	16	0.00200526	0	0	0	0	282.153	0.855178	19.9795	0	0	7.08109	
2	3	0	2	72	272	858	[219,776,325,938]	-665.01	555.38					88	2375	0.0775441	89	0.00677012	0	0	0	0	464.868	0.931479	83.9846	0	0	18.0663	
2	3	0	2	73	629	862	[588,816,684,904]	-597.8	554.39					89	258	0.0138009	8	0.00130676	0	0	0	0	216.486	0.825411	9.12338	0	0	4.21431	
2	3	0	2	74	491	892	[452,852,535,935]	-624.09	548.76					90	134	0.00835106	12	0.00228397	0	0	0	0	185.792	0.936215	4.7385	0	0	2.55044	
2	3	0	2	75	893	926	[850,873,936,969]	-548.09	543.3					91	601	0.0335838	30	0.00481	0	0	0	0	220.552	0.948896	21.2525	0	0	9.63604	
2	3	0	2	76	755	920	[710,876,798,970]	-574.99	543.45					92	1753	0.0314137	4	0.000677851	0	0	0	0	208.671	0.904232	61.9895	0	0	29.7068	
2	3	0	2	77	571	969	[523,935,623,1004]	-608.75	534.14					94	618	0.0238895	36	0.00632467	0	0	0	0	201.28	0.945022	21.8537	0	0	10.8573	
