Database Name	operetta																																	
Database Link	http://10.45.1.197/ODA/OdaService.asmx																																	
Evaluation Signature	18279537-4f40-4f47-8786-1e3a8a0a1055																																	
Plate Name	230421_1																																	
Measurement	Measurement 2																																	
Evaluation	Evaluation1																																	
Population	Population - Nuclei Cytoplasm A Selected																																	
																																		
[Data]																																		
Row	Column	Timepoint	Field	Object.No	X	Y	Bounding.Box	Position.X..µm.	Position.Y..µm.	Nuclei.Cytoplasm.A.Selected...Object.No.in.Nuclei.A	Nuclei.Cytoplasm.A.Selected...Nucleus.Area..µm..	Nuclei.Cytoplasm.A.Selected...Nucleus.Roundness	Nuclei.Cytoplasm.A.Selected...Nucleus.Ratio.Width.to.Length	Nuclei.Cytoplasm.A.Selected...Object.No.in.Nuclei.A.Selected	Nuclei.Cytoplasm.A.Selected...Object.No.in.Nuclei.A.Selected.Selected	Nuclei.Cytoplasm.A.Selected...Nucleus.Area..µm....2.	Nuclei.Cytoplasm.A.Selected...Nucleus.Roundness..2.	Nuclei.Cytoplasm.A.Selected...Cytoplasm.Area..µm..	Nuclei.Cytoplasm.A.Selected...Cytoplasm.Roundness	Nuclei.Cytoplasm.A.Selected...Cell.Area..µm..	Nuclei.Cytoplasm.A.Selected...Cell.Roundness	Nuclei.Cytoplasm.A.Selected...Nuc.Area...Cell.Area...Cell.Roundness	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Alexa.488.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Turquoise2.alternative.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Alexa.546.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Alexa.647.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Alexa.488.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Turquoise2.alternative.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Alexa.546.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Alexa.647.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Alexa.488.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Turquoise2.alternative.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Alexa.546.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Alexa.647.Mean
7	7	0	13	24	277	949	"[237,912,317,987]"	1135.09	-2181.6	33	253.057	0.807707	0.540495	29	29	253.057	0.807707	1002.91	0.272612	1255.97	0.438349	0.0883202	891.919	1199.72	1993.52	1458.31	678.486	985.827	1160.22	1348.3	685.531	993.005	1168.33	1361.57
7	7	0	13	25	383	964	"[316,921,440,1007]"	1196.91	-2191.07	35	315.067	0.920401	0.469682	31	30	315.067	0.920401	1270.31	0.264273	1585.37	0.407954	0.0810744	2450.67	1712.71	2449.4	1482.82	752.349	1023.51	1143.87	1341.04	775.396	1036.68	1158.96	1346.56
7	7	0	13	26	807	1005	"[765,916,858,1059]"	1455.86	-2208.65	36	565.616	0.912612	0.798594	32	31	565.616	0.912612	1894.35	0.272728	2459.96	0.440037	0.101177	2617.5	2178.11	1222.69	1614.22	809.761	1088.43	1135.87	1385.62	879.836	1142.45	1155.33	1446.96
7	7	0	13	27	330	1000	"[299,964,378,1028]"	1168.88	-2212.6	40	238.361	0.966188	0.773142	35	34	238.361	0.966188	718.31	0.327917	956.672	0.525041	0.130818	1302.51	1611.32	2461.36	1472.94	849.991	1154.78	1320.06	1455.07	809.019	1123.26	1269.56	1467.22
7	7	0	13	28	186	993	"[153,941,223,1023]"	1082.55	-2205.9	41	193.915	0.960308	0.673745	36	35	193.915	0.960308	937.316	0.385781	1131.23	0.54769	0.0938847	1186.14	1533.24	2368.01	1531.03	744.985	1065.94	1386.53	1453.07	771.899	1095.04	1334.48	1448.26
7	7	0	13	29	253	1000	"[222,965,292,1044]"	1120.65	-2215.16	42	278.865	1.004	0.811035	37	36	278.865	1.004	828.351	0.315779	1107.22	0.538249	0.135564	1035.7	1360.43	1997.55	1473.16	697.221	1010.82	1213.74	1348.57	703.099	1018.11	1230.94	1356.5
7	7	0	1	1	147	61	"[117,29,180,111]"	-235.56	281.62	8	396.791	0.916514	0.463638	3	3	396.791	0.916514	688.918	0.24052	1085.71	0.506847	0.185236	3024.53	3762.9	7411.46	1451.83	987.612	1365.41	1428.87	1431.83	965.893	1356.84	1424.68	1470.54
7	7	0	1	2	342	64	"[282,34,413,102]"	-115.98	282.41	9	380.662	0.941838	0.575621	4	4	380.662	0.941838	1317.62	0.269486	1698.28	0.43271	0.0969899	2185.09	1638.31	1202.5	1443.93	763.856	1036.09	1142.26	1353.48	790.427	1055.76	1146.63	1364.75
7	7	0	1	3	410	125	"[336,80,456,171]"	-80.58	248.32	11	430.843	0.98108	0.573516	5	5	430.843	0.98108	1486.8	0.308699	1917.65	0.497696	0.111819	2309.36	1108.72	1245.15	1435.63	741.088	983.47	1131.46	1343.13	771.812	987.862	1135.37	1359.58
7	7	0	1	4	457	114	"[432,85,481,139]"	-47.38	255.61	12	156.279	0.716943	0.3946	6	6	156.279	0.716943	277.79	0.237582	434.069	0.563041	0.202713	1262.11	1425.05	1559.5	1407.19	759.586	1043.71	1189.82	1335.72	751.971	1030.26	1186.99	1338.48
7	7	0	1	5	561	122	"[480,90,672,152]"	20.88	251.03	13	396.074	0.906397	0.496358	7	7	396.074	0.906397	2148.48	0.257659	2544.55	0.367129	0.0571457	1423.47	1749.21	3909.46	1401.98	739.836	1057.91	1178.69	1325.87	769.278	1095.34	1257.6	1340.18
7	7	0	1	6	236	106	"[165,18,324,215]"	-179.24	251.46	14	564.54	0.959348	0.609566	8	8	564.54	0.959348	5953.66	0.340866	6518.2	0.432796	0.0374844	2086.54	1253.91	1174.26	1443.58	707.283	1008.82	1180.77	1354.76	744.366	998.582	1138.01	1360.63
7	7	0	1	7	459	187	"[396,123,510,241]"	-46.6	215.02	16	331.555	0.970335	0.562764	10	10	331.555	0.970335	1852.05	0.336002	2183.61	0.482129	0.0732058	1519.21	1878.66	2674.39	1422.69	711.512	1021.28	1150.33	1330.5	740.784	1056.49	1181.74	1353.57
7	7	0	1	8	160	268	"[97,215,224,316]"	-226.59	161.56	18	370.625	0.917582	0.459096	11	11	370.625	0.917582	1842.01	0.304625	2212.64	0.449992	0.0753753	2545	1290.26	1207.76	1458.96	735.46	989.417	1135.78	1334.59	790.083	1009.39	1143.36	1365.05
7	7	0	1	9	87	264	"[31,229,143,295]"	-271.22	166.98	19	325.462	0.868202	0.409781	12	12	325.462	0.868202	981.046	0.261828	1306.51	0.451174	0.112391	1259.32	1611.3	3128.77	1447.53	710.288	1018.23	1192.34	1348.17	720.406	1031.06	1215.67	1358.88
7	7	0	1	10	827	250	"[779,200,875,304]"	172.2	172.38	20	272.413	1.00346	0.78732	13	13	272.413	1.00346	1554.19	0.335118	1826.6	0.475811	0.0709608	2267.53	2758.24	2158.37	1501.61	786.592	1113.09	1137.6	1355.13	865.955	1214.96	1159.58	1394.44
7	7	0	1	11	878	300	"[843,265,918,340]"	204.86	143.72	21	278.865	0.991086	0.817262	14	14	278.865	0.991086	998.251	0.402453	1277.12	0.67436	0.14725	2349.59	2851.29	2216.44	1503.3	832.802	1164.58	1145.77	1365.25	891.387	1242.74	1161.57	1405.21
7	7	0	1	12	759	304	"[708,235,810,405]"	129.87	130.28	22	503.247	0.9217	0.540691	15	15	503.247	0.9217	3310.89	0.357279	3814.14	0.50167	0.0661916	4106.27	3725.6	1199.91	1490.51	939.019	1227.55	1118.24	1341.6	1097.89	1400.29	1124.83	1384.89
7	7	0	1	13	71	321	"[32,279,109,392]"	-279.65	126.44	23	302.164	0.919009	0.66621	16	16	302.164	0.919009	988.215	0.274505	1290.38	0.415296	0.0972485	961.894	1248.42	1786.97	1460.78	708.689	1009.52	1167.67	1348.4	728.101	1023.82	1182.89	1367.59
7	7	0	1	14	427	342	"[376,294,456,374]"	-72.67	124.31	24	175.635	0.948791	0.717348	17	17	175.635	0.948791	1077.47	0.487055	1253.1	0.719723	0.100877	1642.38	2070.27	1744.85	1524.19	713.019	1036.75	1174.21	1435.07	748.651	1078.06	1184.15	1476.58
7	7	0	1	15	828	341	"[793,296,857,399]"	170.66	115.69	26	462.027	0.861354	0.526134	19	19	462.027	0.861354	835.52	0.257235	1297.55	0.529301	0.188472	7658.11	1917.11	1480.16	1523.83	1019.95	1076.28	1136.08	1428.37	1073.43	1097.52	1142.56	1486.14
7	7	0	1	16	143	359	"[74,294,196,425]"	-238.63	103.7	27	306.106	0.948069	0.602472	20	20	306.106	0.948069	2960.7	0.373052	3266.81	0.487359	0.0456665	920.938	1242.89	1791.5	1404.44	698.606	1010.72	1213.47	1369.53	698.143	1007	1155.4	1355.14
7	7	0	1	17	381	356	"[348,313,420,398]"	-94.02	107.12	28	181.728	0.968247	0.61248	21	21	181.728	0.968247	1085.35	0.464076	1267.08	0.695388	0.0997345	1527.17	1940.35	1590.3	1515.79	723.28	1042.01	1181.49	1431.58	750.326	1082.46	1186	1468.49
7	7	0	1	18	222	349	"[175,276,277,398]"	-188.36	119.51	29	324.745	0.98135	0.639068	22	22	324.745	0.98135	2561.4	0.357506	2886.15	0.478956	0.0538915	2337.37	2413.47	2667.04	1531.32	753.752	1062.21	1142.13	1354.47	818.684	1131.32	1178.57	1420.92
7	7	0	1	19	865	374	"[836,333,897,409]"	196	98.34	32	211.479	0.887654	0.62254	23	23	211.479	0.887654	765.266	0.419136	976.744	0.690715	0.149549	1978.81	2318.4	2633.18	1528.39	852.639	1126.58	1171.68	1386.81	904.591	1177.72	1195.59	1421.99
7	7	0	1	20	942	402	"[895,351,977,435]"	235.82	86.87	34	244.097	0.95355	0.442192	25	24	244.097	0.95355	940.542	0.355139	1184.64	0.575062	0.118492	1836.99	2213.4	2460.01	1481.88	761.149	1074.09	1160.2	1342.07	797.241	1113.57	1178.73	1363
7	7	0	1	21	314	406	"[236,333,359,450]"	-142.34	83.07	35	354.854	0.997837	0.636773	26	25	354.854	0.997837	2328.77	0.329701	2683.63	0.452332	0.0598115	2530.46	2111.55	1174.79	1604.14	751.711	1047.74	1138.79	1364.33	814.601	1102.15	1144.89	1437.78
7	7	0	1	22	380	422	"[329,385,417,489]"	-99.81	63.65	36	351.986	0.993158	0.765216	27	26	351.986	0.993158	1366.01	0.326501	1717.99	0.511385	0.104774	1828.2	1719.75	1179.6	1543.94	741.443	1043.03	1152.12	1367.19	766.549	1062.36	1151.92	1408.29
7	7	0	1	23	223	425	"[131,399,266,506]"	-204	55.16	37	349.477	0.95616	0.504508	28	27	349.477	0.95616	2032.35	0.297985	2381.82	0.41813	0.0613509	1471.89	1895.74	1537.45	1421.41	720.878	1043.14	1165.84	1331.57	743.697	1074.1	1175.9	1347.18
7	7	0	1	24	964	458	"[926,430,987,535]"	251.39	40.42	39	269.546	0.947034	0.549664	29	28	269.546	0.947034	886.776	0.243689	1156.32	0.396348	0.0923912	1371.72	1708.86	2607.82	1448.73	707.205	1025.93	1175.19	1338.02	724.561	1044.83	1196.74	1353.66
7	7	0	1	25	414	482	"[372,422,471,543]"	-70.27	31.92	40	349.477	0.989047	0.706894	30	29	349.477	0.989047	1850.62	0.308393	2200.09	0.441673	0.0701582	1468.16	1872.3	1663.14	1482.24	708.57	1033.61	1164.38	1357.24	736.756	1070.7	1174.68	1383.53
7	7	0	1	26	269	466	"[239,434,299,514]"	-158.97	38.85	42	262.377	0.956344	0.706502	31	30	262.377	0.956344	748.419	0.407738	1010.8	0.648168	0.168248	1461.65	1855.78	1946.32	1461.88	756.876	1084	1197.42	1370.68	780.99	1118.06	1231.32	1401.66
7	7	0	1	27	325	488	"[290,445,393,528]"	-123.01	28.79	43	353.779	0.892868	0.452729	32	31	353.779	0.892868	1249.16	0.293331	1602.94	0.471778	0.104124	1654.61	2077.18	1405.71	1458.33	740.195	1072.45	1192.09	1357.34	771.014	1114.65	1206.9	1380.23
7	7	0	1	28	242	498	"[216,462,279,544]"	-177.68	20.64	44	269.904	0.869756	0.504389	33	32	269.904	0.869756	737.666	0.410704	1007.57	0.656351	0.175821	1367.88	1767.37	1830.58	1467.53	742.359	1070.6	1243.85	1381.02	770.995	1103.77	1265.64	1423.64
7	7	0	1	29	682	492	"[619,419,752,576]"	86.45	30.21	45	383.529	1.00913	0.769231	34	33	383.529	1.00913	3638.51	0.344248	4022.04	0.442031	0.0421507	1734.64	2082.86	4599.52	1498.75	721.368	1043.02	1154.67	1350.19	771.839	1104.09	1249.59	1403.95
7	7	0	1	30	137	561	"[60,490,175,621]"	-245.85	-10.96	46	348.402	0.998673	0.738945	35	34	348.402	0.998673	2349.92	0.288562	2698.32	0.388857	0.0502084	1981.47	1603.09	1718.36	1520.92	717.427	1017.67	1230.77	1336.86	768.325	1051.93	1258.64	1379.87
7	7	0	1	31	319	547	"[254,510,358,591]"	-136.65	-3.93	47	339.441	0.909473	0.560941	36	35	339.441	0.909473	1250.59	0.367101	1590.03	0.612857	0.130833	1205.5	1461.68	1991.43	1499.99	722.991	1049.93	1301.29	1381.82	737.695	1063.04	1307.81	1410.92
