Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	4	45	276	826	[254,798,298,857]	488.52	-172.33					50	177.573	46	399.182	7420.99	2478.76	4416.63	2104.82	190	0.0581648	7	0.00627803	68.022	0.475974	
5	3	0	4	46	256	850	[241,831,273,865]	475.81	-184.61					51	204.066	47	76.9722	6283.57	2083.18	4232.15	2269.35	39	0.0229832	3	0.0139535	11.8143	0.506676	
5	3	0	4	47	282	968	[256,942,304,990]	491.36	-255.31					52	224.83	48	300.371	6233.2	2421.5	3414.81	1870.95	84	0.0403933	4	0.00476758	30.0729	0.279654	
5	3	0	4	48	760	978	[734,949,778,1008]	776.48	-264.97					53	172.919	49	334.382	4973.83	2104.82	2766.35	1865.54	66	0.00859205	3	0.00321199	23.6287	0.197379	
5	3	0	4	49	53	1004	[33,990,78,1019]	356.04	-277.88					54	137.118	50	214.448	4525.54	1882.6	2701.05	1782.73	0	0	0	0	0	0	
5	3	0	4	50	210	1022	[191,993,230,1057]	448.24	-289.43					55	215.164	51	467.203	4681.79	2000.31	3203.58	1965.27	219	0.0246936	8	0.00613027	78.4043	0.468747	
5	3	0	16	1	569	367	[554,354,586,379]	1309.56	-1834.05					1	73.7501	1	142.846	5437.47	2739.16	3385.89	1980.57	8	0.00340303	1	0.00250627	2.86408	0.0560043	
5	3	0	16	2	314	396	[303,385,346,410]	1161.59	-1852.22					2	126.736	2	148.216	10893.7	3271.18	4704.39	2337.93	136	0.138311	2	0.00483092	48.6894	0.917578	
5	3	0	16	3	895	531	[882,520,914,544]	1506.02	-1932.59					3	94.8727	3	118.501	6587.16	2798.08	3510.05	1981.86	0	0	0	0	0	0	
5	3	0	16	4	737	584	[722,572,748,599]	1408.49	-1965.82					4	76.6142	4	94.5147	5952.32	2398.07	3465.99	1903.25	0	0	0	0	0	0	
