Uniprot,pvalue,Estimate
CON_P28800,0.35845462086925,-0.336103031413679
CON_P34955,0.554247477103356,-0.242424140569584
CON_P41361,0.751698814951496,-0.117744939567461
CON_P81644,0.256442797625563,0.52832600396987
CON_Q03247,0.0264415551433658,0.877433334410366
CON_Q05443,0.454475974238153,-0.331723932048153
CON_Q2UVX4,0.249695377855753,-0.173136085428474
CON_Q3MHN2,0.627926667576385,0.223947693415628
CON_Q3SZ57,0.568215443828426,-0.17286696890918
CON_Q58D62,0.764153790294182,-0.124608096950227
CON_Q6IFX2,0.0666332233565883,-0.352569732600018
CON_Q95121,0.0464271952487397,-0.607222270598128
CON_Q99PS0,0.92806993614844,-0.0454492690757222
CON_Q9N2I2,0.0147502525690305,0.91420705973765
CON_Q9TTE1,0.266226100539213,-0.370427925907815
D6RBQ6,0.408794436353217,0.540721563795669
D6RIA3,0.617476314203627,0.145972930308404
E5RJM6,0.475034825903702,-0.303137014228494
E9PRG8,0.94205058864091,0.0073331369826757
F2Z3M2,0.191005150761017,-0.421904913460356
F8WBI6,0.258108483491693,0.236900864240149
H7BZ55,0.0535626446751781,0.184730581982226
L0R6Q1,0.39696072241517,0.337203716177652
L0R8F8,0.300923503230429,0.29376981054533
O00116,0.00780582791985822,1.148296038418
O00139,0.309367082925592,0.253891855568943
O00148,0.243687529383154,0.296223637636585
O00159,0.0348632281061843,0.838596510660901
O00161,0.671499264011209,-0.119553186777126
O00165,0.695239191276696,-0.130184411203157
O00170,0.657012925964947,0.28102264181741
O00178,0.466453235751652,0.298621808872976
O00186,0.749514672777655,-0.0746359505327752
O00192,0.485080679026071,0.388179704513533
O00194,0.376597889416676,0.296483416901688
O00203,0.266359594848254,0.40635474388208
O00204,0.477581240505786,-0.395024245655821
O00214,0.489459106008445,0.179309329948061
O00217,0.218142650699363,0.399717181580606
O00231,0.271915836262628,0.379383865519061
O00232,0.187107506502571,-0.311404867516259
O00255,0.280992495203202,-0.143055399980191
O00257,0.437947857478333,-0.161147160547101
O00258,0.926571672057241,0.0157656192053355
O00264,0.511195162254968,0.18176077745843
O00267,0.895322373440687,0.0269025881782599
O00268,0.721595249792177,-0.0957867772816893
O00287,0.319032486703458,-0.519587133358754
O00291,0.0509383909402278,-0.521137564706835
O00294,0.221230998749578,0.613280672125312
O00299,0.972283304582592,-0.00966235494881969
O00303,0.000228601113372243,0.88489462169439
O00308,0.278599432654785,-0.292709319428552
O00330,0.995413474211663,0.000909595996302154
O00391,0.0937990574002525,0.508836535661691
O00400,0.623025473021262,0.110241081883334
O00401,0.0356792449845222,0.662888325551901
O00410,0.636408084323102,0.14858082152338
O00411,0.158785774087144,0.584276131879154
O00422,0.845211895482149,-0.0390143668005562
O00425,0.0124389248593371,1.11340403665355
O00429,0.326825952196325,0.471901846815267
O00442,0.410482963802325,0.517188576053048
O00443,0.0334434220867896,0.660035193976528
O00444,0.000195749229876392,2.1565075432987
O00451,0.132221175551812,0.659838974377099
O00461,0.345172997030848,-0.254502855953054
O00469,0.816858342040266,-0.111421322564288
O00471,0.476302092000199,-0.20131109288565
O00479,0.221191294452707,0.854139853338856
O00483,0.820741477831261,0.0776728317865035
O00487,0.0284986423533428,-0.355169935983118
O00488,0.289507244948426,0.338697311525691
O00505,0.198263102844881,0.264995659878123
O00506,0.0057980152527844,0.949303518822271
O00515,0.00123501434234635,-0.572299779113993
O00519,0.731262086320079,0.124171635107883
O00541,0.228327469000181,-0.176295950623251
O00559,0.122711131484029,-0.393684872759428
O00560,0.0164609968836213,1.24098312618282
O00566,0.259020082653937,-0.121730920414834
O00567,0.975854124041757,-0.0048720899925837
O00571,0.714297156650109,0.0951675684646578
O00592,0.703985557801931,0.140434629717233
O00622,0.000796935639067145,1.6473662988302
O00629,0.386666601187973,-0.214882433824667
O00635,0.00237725740632001,1.27915217888358
O00712,0.00920180560705591,-0.522375931913492
O00716,0.262324596997694,0.452800483658003
O00744,0.993345429071177,-0.00398340827323159
O00746,0.715340441932675,0.171428729268639
O00763,0.258613908656257,0.256383360491141
O00767,0.103034592174364,-0.589220254287019
O14493,0.55876357605801,0.307647530183842
O14494,0.0158961049653942,0.919391086302611
O14495,0.00177322038322012,1.16311085498835
O14497,0.33024200563778,0.592705619909735
O14519,0.80087674378309,0.05185322346758
O14521,0.249916074425294,0.211998230860278
O14523,0.245119816129558,-0.272545908970595
O14524,0.678900541410476,-0.0906945052678383
O14548,0.491617759605694,-0.161524064766948
O14561,0.928597211756657,0.0351586023871968
O14569,0.75905009159719,-0.108613286083931
O14578,0.289519047378798,0.247456099281357
O14579,0.54666338942845,0.177751380384255
O14617,0.240262509730756,0.217668458269609
O14639,0.553888545970496,-0.188978067701484
O14646,0.247399346983912,-0.163681114186139
O14647,0.410657621034984,0.135587284428189
O14653,0.633616097018581,0.102956024882324
O14656,0.291072091818299,0.488249555372007
O14662,0.644386895870747,0.0981446849686251
O14672,0.452015662623507,0.148738868628032
O14681,0.376872357676447,0.204132562167094
